similarity_score,slanted_content,unreliable_content,matching_features,differing_features,num_matching,num_differing
0.9999999999999999,"@sentdefender The US Embassy in Russia issued a very strange message about an imminent terrorist attack against crowds in Moscow in the next 48h

They know it was going to happen. 🤔 https://t.co/jFGGgoyyCu",This Palestinian woman was denied vital treatment for her burns in an Israeli prison. She’s been released along with 38 other women and children in Israel’s hostage exchange with Hamas. https://t.co/Hcce3uatLt,"['Outdatedinformation', 'Missingimportantcontext', 'Meta Trustworthysources']","['Factualerror', 'Unverifiedclaimasfact']",3,2
0.9999999999999998,"The Prime Minister of Fucking Australia attempting to SCAM my bank account @AlboMP 🇦🇺

Correct scumbag? https://t.co/Qo45uXHHSL",Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Unverifiedclaimasfact', 'Meta Trustworthysources']","['Factualerror', 'Outdatedinformation', 'Missingimportantcontext']",2,3
0.9999999999999997,"🚨🇬🇧 UK Police shoot dead a Bangladeshi Male 

Chaos ensues in London.  It’s not a coincidence you’re seeing all these events unfold. 

Britain is falling apart. https://t.co/0CNjOVPaom",Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,['Meta Trustworthysources'],"['Factualerror', 'Outdatedinformation', 'Missingimportantcontext', 'Unverifiedclaimasfact']",1,4
0.9999999999999978,🔥🚨DEVELOPING: X made a new policy where if you are a journalist investigating in anything that could lead to an arrest you will be demonetized. That means X no longer values TRUE journalism. I wonder who this policy was made for. https://t.co/c8lCtUzF6p,Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Missingimportantcontext', 'Unverifiedclaimasfact', 'Meta Trustworthysources']","['Factualerror', 'Outdatedinformation']",3,2
0.9999999999999969,@flightradar24 Quite the track record . https://t.co/1tYJ0Nok5i,Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Missingimportantcontext', 'Meta Trustworthysources']","['Outdatedinformation', 'Unverifiedclaimasfact', 'Meta Quote Count']",2,3
0.9999999999999967,"I wonder what would happen if a Christian was voted into the iranian Parliament and wished to take their oath to serve the Ayatollah in Jesus Christ’s name.

Oh yeah. That wouldn’t happen in a million billion years.

We are not on our own side.

https://t.co/vjRUmP4FvN","Yes, I'm running against Joe Biden for the Democratic nomination. Joe Biden is down 24 points on the economy. He has no ability to make up that kind of ground on the most important issue. We need a new candidate now! https://t.co/JdRkmvU9Cy","['Factualerror', 'Missingimportantcontext', 'Meta Trustworthysources']",[],3,0
0.9999999999999951,Trump water sitting in a warehouse since 2010 when Trump Ice failed like everything he touches!! https://t.co/XT8Ih7HfCO,"""What is a fact is that stress is a huge cause of cancer...I think that Prince Harry has to look at his part in this.""
 
Royal Correspondent Victoria Mather suggests to ＠RachelSJohnson that 'Megxit' could be part of the reason King Charles is currently unwell with cancer. https://t.co/QSGuTO7Ozk",['Meta Trustworthysources'],"['Factualerror', 'Unverifiedclaimasfact']",1,2
0.9999999999999949,FYI to everyone who uses Discord. Be safe! https://t.co/FzKK8zzc4Y,This Palestinian woman was denied vital treatment for her burns in an Israeli prison. She’s been released along with 38 other women and children in Israel’s hostage exchange with Hamas. https://t.co/Hcce3uatLt,"['Factualerror', 'Missingimportantcontext', 'Unverifiedclaimasfact', 'Meta Trustworthysources']",['Outdatedinformation'],4,1
0.9999999999999929,"An individual who had been loading illicit streaming services on to so-called “Firesticks” has today been sentenced to three years and four months in prison.

➡️ https://t.co/tlf6ycnptr https://t.co/yr093FtQQe",the guy that ran onto the field during the Super Bowl outplayed the system LMFAOOO https://t.co/zYWmY9CGZ3,['Meta Trustworthysources'],"['Factualerror', 'Missingimportantcontext']",1,2
0.9999999999999918,"🇫🇷Macron in the French Media

You don’t require a translator to understand this headline!

This story just gets more bizarre by the day….. https://t.co/Z353mSDpgs",this reel is gonna stay rent free in my mind https://t.co/Ob2sv9YkzG,"['Missingimportantcontext', 'Meta Trustworthysources']",['Outdatedinformation'],2,1
0.9999999999999912,"🇨🇳 Meanwhile in China

International Robotics Conference in Beijing is underway. 

China is years ahead of the rest of the World when it comes to robots - Models are now available from less than $10,000 https://t.co/bhtnpmAlhu",This Palestinian woman was denied vital treatment for her burns in an Israeli prison. She’s been released along with 38 other women and children in Israel’s hostage exchange with Hamas. https://t.co/Hcce3uatLt,"['Missingimportantcontext', 'Meta Trustworthysources']","['Factualerror', 'Outdatedinformation', 'Unverifiedclaimasfact']",2,3
0.9999999999999902,This is what happens when you stick with the plan that's working. https://t.co/WFTzJybNPq,Deadliest #Russian attacks on #Ukraine; 'Record ten thousand Ukrainian troops wiped out' https://t.co/TFKN1nJs9e,"['Missingimportantcontext', 'Meta Trustworthysources']","['Outdatedinformation', 'Unverifiedclaimasfact']",2,2
0.9999999999999828,@flightradar24 Quite the track record . https://t.co/1tYJ0Nok5i,"One of the reasons Tylenol is linked to autism is because Tylenol reduces glutathione production. Glutathione is required for detoxification. What happens when a child can’t detox? Autism and seizures happen, especially when poisons are INJECTED into infants by heartless doctors. https://t.co/P3GkFVVRqk",['Meta Trustworthysources'],"['Factualerror', 'Missingimportantcontext', 'Meta Quote Count']",1,3
0.9999999999999776,"🚨ELECTION INTERFERENCE 

Google is sending people notifications to unsubscribe from President Trump’s emails. 

They are actively trying to steal the 2024  election. https://t.co/E18qJCKujC","Yes, I'm running against Joe Biden for the Democratic nomination. Joe Biden is down 24 points on the economy. He has no ability to make up that kind of ground on the most important issue. We need a new candidate now! https://t.co/JdRkmvU9Cy","['Missingimportantcontext', 'Meta Trustworthysources']",['Factualerror'],2,1
0.9999999999999758,PRESS STATEMENT : CLARIFICATION ON ALLEGED ABDUCTIONS BY NATIONAL POLICE SERVICE https://t.co/1W8nhBDntE,"Yes, I'm running against Joe Biden for the Democratic nomination. Joe Biden is down 24 points on the economy. He has no ability to make up that kind of ground on the most important issue. We need a new candidate now! https://t.co/JdRkmvU9Cy","['Factualerror', 'Missingimportantcontext', 'Meta Trustworthysources']",['Unverifiedclaimasfact'],3,1
0.9999999999999722,"🚨🇬🇧 UK Police shoot dead a Bangladeshi Male 

Chaos ensues in London.  It’s not a coincidence you’re seeing all these events unfold. 

Britain is falling apart. https://t.co/0CNjOVPaom","One of the reasons Tylenol is linked to autism is because Tylenol reduces glutathione production. Glutathione is required for detoxification. What happens when a child can’t detox? Autism and seizures happen, especially when poisons are INJECTED into infants by heartless doctors. https://t.co/P3GkFVVRqk","['Factualerror', 'Meta Trustworthysources']",[],2,0
0.99999999999997,"This is the common background of someone working at @Tesla on autopilot. 

It was very common for an assistant manager of a Wendy’s or a Doordasher to join Tesla AP and be promoted quickly

The ones with tech backgrounds typically leave within 2 years with no promotions 🤔🤷🏼‍♂️ https://t.co/k8MzsazGT1",the guy that ran onto the field during the Super Bowl outplayed the system LMFAOOO https://t.co/zYWmY9CGZ3,['Meta Trustworthysources'],"['Factualerror', 'Missingimportantcontext']",1,2
0.9999999999999698,"The Prime Minister of Fucking Australia attempting to SCAM my bank account @AlboMP 🇦🇺

Correct scumbag? https://t.co/Qo45uXHHSL","One of the reasons Tylenol is linked to autism is because Tylenol reduces glutathione production. Glutathione is required for detoxification. What happens when a child can’t detox? Autism and seizures happen, especially when poisons are INJECTED into infants by heartless doctors. https://t.co/P3GkFVVRqk","['Factualerror', 'Meta Trustworthysources']",['Unverifiedclaimasfact'],2,1
0.999999999999968,They decided its a disorder for children to have boundaries https://t.co/xlV7U7ij9V,Wildest things that came out of the Cass Report on trans healthcare https://t.co/r50rOaen64,"['Factualerror', 'Missingimportantcontext', 'Meta Trustworthysources']",['Unverifiedclaimasfact'],3,1
0.9999999999999549,"Shake Shack is giving out free chicken sandwiches, cheese fries, &amp; shakes 👀 https://t.co/lMI4s8Hh6l","""What is a fact is that stress is a huge cause of cancer...I think that Prince Harry has to look at his part in this.""
 
Royal Correspondent Victoria Mather suggests to ＠RachelSJohnson that 'Megxit' could be part of the reason King Charles is currently unwell with cancer. https://t.co/QSGuTO7Ozk",['Meta Trustworthysources'],"['Factualerror', 'Outdatedinformation', 'Missingimportantcontext', 'Unverifiedclaimasfact']",1,4
